timestamp,commit,benchmark,monoruby_ms,yjit_ms,ratio,monoruby_failed,yjit_failed,monoruby_reason,yjit_reason
2026-08-19T10:06:50Z,f09debf,send_rubyfunc_inline,58.9900,98.4330,1.6686,false,false,,
2026-08-19T10:06:50Z,f09debf,sequel,,36.5590,,true,false,"exit 1",
2026-08-19T10:06:50Z,f09debf,setivar,2.9470,9.3170,3.1615,false,false,,
2026-08-19T10:06:50Z,f09debf,setivar_object,4.5105,31.5700,6.9992,false,false,,
2026-08-19T10:06:50Z,f09debf,setivar_young,4.7560,31.0180,6.5219,false,false,,
2026-08-19T10:06:50Z,f09debf,shipit,,,,true,true,"exit 1","timeout (400s)"
2026-08-19T10:06:50Z,f09debf,splay,,,,true,true,"timeout (400s)","SIGKILL after timeout (400s)"
2026-08-19T10:06:50Z,f09debf,str_concat,16.4495,27.4970,1.6716,false,false,,
2026-08-19T10:06:50Z,f09debf,string_malloc_pressure,3.2970,,,false,true,,"timeout (400s)"
2026-08-19T10:06:50Z,f09debf,structaref,6.4430,17.9865,2.7916,false,false,,
2026-08-19T10:06:50Z,f09debf,structaset,5.3140,55.8200,10.5043,false,false,,
2026-08-19T10:06:50Z,f09debf,sudoku,50.9360,128.3300,2.5194,false,false,,
2026-08-19T10:06:50Z,f09debf,throw,4.7130,12.8185,2.7198,false,false,,
2026-08-19T10:06:50Z,f09debf,tinygql,361.2250,194.1085,0.5374,false,false,,
