timestamp,commit,category,files,examples,pass,failures,errors,pass_rate
2026-05-25T07:32:28Z,1478ad7,nil,18,27,27,0,0,100.0
2026-05-25T07:32:28Z,1478ad7,numeric,46,338,338,0,0,100.0
2026-05-25T07:32:28Z,1478ad7,objectspace,29,112,10,5,97,8.9
2026-05-25T07:32:28Z,1478ad7,proc,23,26,12,11,3,46.2
2026-05-25T07:32:28Z,1478ad7,process,92,291,0,44,254,0.0
2026-05-25T07:32:28Z,1478ad7,queue,15,88,52,14,22,59.1
2026-05-25T07:32:28Z,1478ad7,random,10,87,32,10,45,36.8
2026-05-25T07:32:28Z,1478ad7,range,33,466,408,37,21,87.6
2026-05-25T07:32:28Z,1478ad7,rational,32,159,159,0,0,100.0
2026-05-25T07:32:28Z,1478ad7,refinement,8,25,0,0,25,0.0
2026-05-25T07:32:28Z,1478ad7,regexp,24,268,161,80,27,60.1
2026-05-25T07:32:28Z,1478ad7,set,54,181,163,0,18,90.1
2026-05-25T07:32:28Z,1478ad7,signal,3,0,0,0,0,0.0
2026-05-25T07:32:28Z,1478ad7,sizedqueue,16,0,0,0,0,0.0
2026-05-25T07:32:28Z,1478ad7,string,141,3951,3440,407,104,87.1
2026-05-25T07:32:28Z,1478ad7,struct,30,182,182,0,0,100.0
2026-05-25T07:32:28Z,1478ad7,symbol,29,330,327,2,1,99.1
2026-05-25T07:32:28Z,1478ad7,systemexit,2,6,6,0,0,100.0
2026-05-25T07:32:28Z,1478ad7,thread,53,327,16,138,173,4.9
2026-05-25T07:32:28Z,1478ad7,threadgroup,5,8,0,1,7,0.0
2026-05-25T07:32:28Z,1478ad7,time,66,525,193,232,100,36.8
2026-05-25T07:32:28Z,1478ad7,tracepoint,19,75,0,1,75,0.0
2026-05-25T07:32:28Z,1478ad7,true,9,13,13,0,0,100.0
2026-05-25T07:32:28Z,1478ad7,unboundmethod,19,112,82,20,10,73.2
2026-05-25T07:32:28Z,1478ad7,warning,5,31,16,10,5,51.6
