timestamp,commit,benchmark,monoruby_ms,yjit_ms,ratio,monoruby_failed,yjit_failed,monoruby_reason,yjit_reason
2026-05-08T11:31:25Z,1478ad7,send_cfunc_block,165.6004,103.2460,0.6235,false,false,,
2026-05-08T11:31:25Z,1478ad7,send_rubyfunc_block,17.7905,16.8193,0.9454,false,false,,
2026-05-08T11:31:25Z,1478ad7,sequel,,60.4144,,true,false,"exit 1",
2026-05-08T11:31:25Z,1478ad7,setivar,5.7259,4.2018,0.7338,false,false,,
2026-05-08T11:31:25Z,1478ad7,setivar_object,5.9250,39.2210,6.6196,false,false,,
2026-05-08T11:31:25Z,1478ad7,setivar_young,5.9104,39.0153,6.6011,false,false,,
2026-05-08T11:31:25Z,1478ad7,shipit,,,,true,true,"no result","timeout (300s)"
2026-05-08T11:31:25Z,1478ad7,splay,80.4191,44.3070,0.5510,false,false,,
2026-05-08T11:31:25Z,1478ad7,str_concat,91.5003,25.6281,0.2801,false,false,,
2026-05-08T11:31:25Z,1478ad7,structaref,7.5543,10.5767,1.4001,false,false,,
2026-05-08T11:31:25Z,1478ad7,structaset,6.2036,50.7519,8.1811,false,false,,
2026-05-08T11:31:25Z,1478ad7,sudoku,66.8959,124.9464,1.8678,false,false,,
2026-05-08T11:31:25Z,1478ad7,throw,8.6025,14.4355,1.6781,false,false,,
2026-05-08T11:31:25Z,1478ad7,tinygql,,295.3103,,true,false,"timeout (180s)",
